 human_inf_a_1: "£unit_1£ Human Archer"
 forest_troll_cav_a_2: "£unit_2£ Forest Troll Light Cavalry"
 forest_troll_cav_a_2DESCR: ""
 forest_troll_cav_b_2: "£unit_2£ Forest Troll Heavy Cavalry"
 forest_troll_cav_b_2DESCR: ""
 forest_troll_art_a_2: "£unit_2£ Forest Troll Catapult"
 forest_troll_art_a_2DESCR: ""
 forest_troll_art_b_2: "£unit_2£ Forest Troll Trebuchet"
 forest_troll_art_b_2DESCR: ""
 forest_troll_inf_a_3: "£unit_3£ Forest Troll Archer"
 forest_troll_inf_a_3DESCR: ""
 forest_troll_inf_b_3: "£unit_3£ Forest Troll Warrior"
 forest_troll_inf_b_3DESCR: ""
 forest_troll_inf_c_3: "£unit_3£ Forest Troll Spellcaster"
 forest_troll_inf_c_3DESCR: ""
 forest_troll_cav_a_3: "£unit_3£ Forest Troll Light Cavalry"
 forest_troll_cav_a_3DESCR: ""
 forest_troll_cav_b_3: "£unit_3£ Forest Troll Heavy Cavalry"
 forest_troll_cav_b_3DESCR: ""
 forest_troll_art_a_3: "£unit_3£ Forest Troll Catapult"
 forest_troll_art_a_3DESCR: ""
 forest_troll_art_b_3: "£unit_3£ Forest Troll Trebuchet"
 forest_troll_art_b_3DESCR: ""
 forest_troll_inf_a_4: "£unit_4£ Forest Troll Archer"
 forest_troll_inf_a_4DESCR: ""
 forest_troll_inf_b_4: "£unit_4£ Forest Troll Warrior"
 forest_troll_inf_b_4DESCR: ""
 forest_troll_inf_c_4: "£unit_4£ Forest Troll Spellcaster"
 forest_troll_inf_c_4DESCR: ""
 forest_troll_cav_a_4: "£unit_4£ Forest Troll Light Cavalry"
 forest_troll_cav_a_4DESCR: ""
 forest_troll_cav_b_4: "£unit_4£ Forest Troll Heavy Cavalry"
 forest_troll_cav_b_4DESCR: ""
 forest_troll_art_a_4: "£unit_4£ Forest Troll Catapult"
 forest_troll_art_a_4DESCR: ""
 forest_troll_art_b_4: "£unit_4£ Forest Troll Trebuchet"
 forest_troll_art_b_4DESCR: ""
 forest_troll_inf_a_5: "£unit_5£ Forest Troll Archer"
 forest_troll_inf_a_5DESCR: ""
 forest_troll_inf_b_5: "£unit_5£ Forest Troll Warrior"
 forest_troll_inf_b_5DESCR: ""
 forest_troll_inf_c_5: "£unit_5£ Forest Troll Spellcaster"
 forest_troll_inf_c_5DESCR: ""
 forest_troll_cav_a_5: "£unit_5£ Forest Troll Light Cavalry"
 forest_troll_cav_a_5DESCR: ""
 forest_troll_cav_b_5: "£unit_5£ Forest Troll Heavy Cavalry"
 forest_troll_cav_b_5DESCR: ""
 forest_troll_art_a_5: "£unit_5£ Forest Troll Catapult"
 forest_troll_art_a_5DESCR: ""
 forest_troll_art_b_5: "£unit_5£ Forest Troll Trebuchet"
 forest_troll_art_b_5DESCR: ""

 sand_troll_inf_a_1: "£unit_1£ Sand Troll Archer"
 sand_troll_inf_a_1DESCR: ""
 sand_troll_inf_b_1: "£unit_1£ Sand Troll Warrior"
 sand_troll_inf_b_1DESCR: ""
 sand_troll_inf_c_1: "£unit_1£ Sand Troll Spellcaster"
 sand_troll_inf_c_1DESCR: ""
 sand_troll_cav_a_1: "£unit_1£ Sand Troll Light Cavalry"
 sand_troll_cav_a_1DESCR: ""
 sand_troll_cav_b_1: "£unit_1£ Sand Troll Heavy Cavalry"
 sand_troll_cav_b_1DESCR: ""
 sand_troll_art_a_1: "£unit_1£ Sand Troll Catapult"
 sand_troll_art_a_1DESCR: ""
 sand_troll_art_b_1: "£unit_1£ Sand Troll Trebuchet"
 sand_troll_art_b_1DESCR: ""
 sand_troll_inf_a_2: "£unit_2£ Sand Troll Archer"
 sand_troll_inf_a_2DESCR: ""
 sand_troll_inf_b_2: "£unit_2£ Sand Troll Warrior"
 sand_troll_inf_b_2DESCR: ""
 sand_troll_inf_c_2: "£unit_2£ Sand Troll Spellcaster"
 sand_troll_inf_c_2DESCR: ""
 sand_troll_cav_a_2: "£unit_2£ Sand Troll Light Cavalry"
 sand_troll_cav_a_2DESCR: ""
 sand_troll_cav_b_2: "£unit_2£ Sand Troll Heavy Cavalry"
 sand_troll_cav_b_2DESCR: ""
 sand_troll_art_a_2: "£unit_2£ Sand Troll Catapult"
 sand_troll_art_a_2DESCR: ""
 sand_troll_art_b_2: "£unit_2£ Sand Troll Trebuchet"
 sand_troll_art_b_2DESCR: ""
 sand_troll_inf_a_3: "£unit_3£ Sand Troll Archer"
 sand_troll_inf_a_3DESCR: ""
 sand_troll_inf_b_3: "£unit_3£ Sand Troll Warrior"
 sand_troll_inf_b_3DESCR: ""
 sand_troll_inf_c_3: "£unit_3£ Sand Troll Spellcaster"
 sand_troll_inf_c_3DESCR: ""
 sand_troll_cav_a_3: "£unit_3£ Sand Troll Light Cavalry"
 sand_troll_cav_a_3DESCR: ""
 sand_troll_cav_b_3: "£unit_3£ Sand Troll Heavy Cavalry"
 sand_troll_cav_b_3DESCR: ""
 sand_troll_art_a_3: "£unit_3£ Sand Troll Catapult"
 sand_troll_art_a_3DESCR: ""
 sand_troll_art_b_3: "£unit_3£ Sand Troll Trebuchet"
 sand_troll_art_b_3DESCR: ""
 sand_troll_inf_a_4: "£unit_4£ Sand Troll Archer"
 sand_troll_inf_a_4DESCR: ""
 sand_troll_inf_b_4: "£unit_4£ Sand Troll Warrior"
 sand_troll_inf_b_4DESCR: ""
 sand_troll_inf_c_4: "£unit_4£ Sand Troll Spellcaster"
 sand_troll_inf_c_4DESCR: ""
 sand_troll_cav_a_4: "£unit_4£ Sand Troll Light Cavalry"
 sand_troll_cav_a_4DESCR: ""
 sand_troll_cav_b_4: "£unit_4£ Sand Troll Heavy Cavalry"
 sand_troll_cav_b_4DESCR: ""
 sand_troll_art_a_4: "£unit_4£ Sand Troll Catapult"
 sand_troll_art_a_4DESCR: ""
 sand_troll_art_b_4: "£unit_4£ Sand Troll Trebuchet"
 sand_troll_art_b_4DESCR: ""
 sand_troll_inf_a_5: "£unit_5£ Sand Troll Archer"
 sand_troll_inf_a_5DESCR: ""
 sand_troll_inf_b_5: "£unit_5£ Sand Troll Warrior"
 sand_troll_inf_b_5DESCR: ""
 sand_troll_inf_c_5: "£unit_5£ Sand Troll Spellcaster"
 sand_troll_inf_c_5DESCR: ""
 sand_troll_cav_a_5: "£unit_5£ Sand Troll Light Cavalry"
 sand_troll_cav_a_5DESCR: ""
 sand_troll_cav_b_5: "£unit_5£ Sand Troll Heavy Cavalry"
 sand_troll_cav_b_5DESCR: ""
 sand_troll_art_a_5: "£unit_5£ Sand Troll Catapult"
 sand_troll_art_a_5DESCR: ""
 sand_troll_art_b_5: "£unit_5£ Sand Troll Trebuchet"
 sand_troll_art_b_5DESCR: ""

 frost_troll_inf_a_1: "£unit_1£ Frost Troll Archer"
 frost_troll_inf_a_1DESCR: ""
 frost_troll_inf_b_1: "£unit_1£ Frost Troll Warrior"
 frost_troll_inf_b_1DESCR: ""
 frost_troll_inf_c_1: "£unit_1£ Frost Troll Spellcaster"
 frost_troll_inf_c_1DESCR: ""
 frost_troll_cav_a_1: "£unit_1£ Frost Troll Light Cavalry"
 frost_troll_cav_a_1DESCR: ""
 frost_troll_cav_b_1: "£unit_1£ Frost Troll Heavy Cavalry"
 frost_troll_cav_b_1DESCR: ""
 frost_troll_art_a_1: "£unit_1£ Frost Troll Catapult"
 frost_troll_art_a_1DESCR: ""
 frost_troll_art_b_1: "£unit_1£ Frost Troll Trebuchet"
 frost_troll_art_b_1DESCR: ""
 frost_troll_inf_a_2: "£unit_2£ Frost Troll Archer"
 frost_troll_inf_a_2DESCR: ""
 frost_troll_inf_b_2: "£unit_2£ Frost Troll Warrior"
 frost_troll_inf_b_2DESCR: ""
 frost_troll_inf_c_2: "£unit_2£ Frost Troll Spellcaster"
 frost_troll_inf_c_2DESCR: ""
 frost_troll_cav_a_2: "£unit_2£ Frost Troll Light Cavalry"
 frost_troll_cav_a_2DESCR: ""
 frost_troll_cav_b_2: "£unit_2£ Frost Troll Heavy Cavalry"
 frost_troll_cav_b_2DESCR: ""
 frost_troll_art_a_2: "£unit_2£ Frost Troll Catapult"
 frost_troll_art_a_2DESCR: ""
 frost_troll_art_b_2: "£unit_2£ Frost Troll Trebuchet"
 frost_troll_art_b_2DESCR: ""
 frost_troll_inf_a_3: "£unit_3£ Frost Troll Archer"
 frost_troll_inf_a_3DESCR: ""
 frost_troll_inf_b_3: "£unit_3£ Frost Troll Warrior"
 frost_troll_inf_b_3DESCR: ""
 frost_troll_inf_c_3: "£unit_3£ Frost Troll Spellcaster"
 frost_troll_inf_c_3DESCR: ""
 frost_troll_cav_a_3: "£unit_3£ Frost Troll Light Cavalry"
 frost_troll_cav_a_3DESCR: ""
 frost_troll_cav_b_3: "£unit_3£ Frost Troll Heavy Cavalry"
 frost_troll_cav_b_3DESCR: ""
 frost_troll_art_a_3: "£unit_3£ Frost Troll Catapult"
 frost_troll_art_a_3DESCR: ""
 frost_troll_art_b_3: "£unit_3£ Frost Troll Trebuchet"
 frost_troll_art_b_3DESCR: ""
 frost_troll_inf_a_4: "£unit_4£ Frost Troll Archer"
 frost_troll_inf_a_4DESCR: ""
 frost_troll_inf_b_4: "£unit_4£ Frost Troll Warrior"
 frost_troll_inf_b_4DESCR: ""
 frost_troll_inf_c_4: "£unit_4£ Frost Troll Spellcaster"
 frost_troll_inf_c_4DESCR: ""
 frost_troll_cav_a_4: "£unit_4£ Frost Troll Light Cavalry"
 frost_troll_cav_a_4DESCR: ""
 frost_troll_cav_b_4: "£unit_4£ Frost Troll Heavy Cavalry"
 frost_troll_cav_b_4DESCR: ""
 frost_troll_art_a_4: "£unit_4£ Frost Troll Catapult"
 frost_troll_art_a_4DESCR: ""
 frost_troll_art_b_4: "£unit_4£ Frost Troll Trebuchet"
 frost_troll_art_b_4DESCR: ""
 frost_troll_inf_a_5: "£unit_5£ Frost Troll Archer"
 frost_troll_inf_a_5DESCR: ""
 frost_troll_inf_b_5: "£unit_5£ Frost Troll Warrior"
 frost_troll_inf_b_5DESCR: ""
 frost_troll_inf_c_5: "£unit_5£ Frost Troll Spellcaster"
 frost_troll_inf_c_5DESCR: ""
 frost_troll_cav_a_5: "£unit_5£ Frost Troll Light Cavalry"
 frost_troll_cav_a_5DESCR: ""
 frost_troll_cav_b_5: "£unit_5£ Frost Troll Heavy Cavalry"
 frost_troll_cav_b_5DESCR: ""
 frost_troll_art_a_5: "£unit_5£ Frost Troll Catapult"
 frost_troll_art_a_5DESCR: ""
 frost_troll_art_b_5: "£unit_5£ Frost Troll Trebuchet"
 frost_troll_art_b_5DESCR: ""

 tuskarr_inf_a_1: "£unit_1£ Tuskarr Archer"
 tuskarr_inf_a_1DESCR: ""
 tuskarr_inf_b_1: "£unit_1£ Tuskarr Warrior"
 tuskarr_inf_b_1DESCR: ""
 tuskarr_inf_c_1: "£unit_1£ Tuskarr Spellcaster"
 tuskarr_inf_c_1DESCR: ""
 tuskarr_cav_a_1: "£unit_1£ Tuskarr Light Cavalry"
 tuskarr_cav_a_1DESCR: ""
 tuskarr_cav_b_1: "£unit_1£ Tuskarr Heavy Cavalry"
 tuskarr_cav_b_1DESCR: ""
 tuskarr_art_a_1: "£unit_1£ Tuskarr Catapult"
 tuskarr_art_a_1DESCR: ""
 tuskarr_art_b_1: "£unit_1£ Tuskarr Trebuchet"
 tuskarr_art_b_1DESCR: ""
 tuskarr_inf_a_2: "£unit_2£ Tuskarr Archer"
 tuskarr_inf_a_2DESCR: ""
 tuskarr_inf_b_2: "£unit_2£ Tuskarr Warrior"
 tuskarr_inf_b_2DESCR: ""
 tuskarr_inf_c_2: "£unit_2£ Tuskarr Spellcaster"
 tuskarr_inf_c_2DESCR: ""
 tuskarr_cav_a_2: "£unit_2£ Tuskarr Light Cavalry"
 tuskarr_cav_a_2DESCR: ""
 tuskarr_cav_b_2: "£unit_2£ Tuskarr Heavy Cavalry"
 tuskarr_cav_b_2DESCR: ""
 tuskarr_art_a_2: "£unit_2£ Tuskarr Catapult"
 tuskarr_art_a_2DESCR: ""
 tuskarr_art_b_2: "£unit_2£ Tuskarr Trebuchet"
 tuskarr_art_b_2DESCR: ""
 tuskarr_inf_a_3: "£unit_3£ Tuskarr Archer"
 tuskarr_inf_a_3DESCR: ""
 tuskarr_inf_b_3: "£unit_3£ Tuskarr Warrior"
 tuskarr_inf_b_3DESCR: ""
 tuskarr_inf_c_3: "£unit_3£ Tuskarr Spellcaster"
 tuskarr_inf_c_3DESCR: ""
 tuskarr_cav_a_3: "£unit_3£ Tuskarr Light Cavalry"
 tuskarr_cav_a_3DESCR: ""
 tuskarr_cav_b_3: "£unit_3£ Tuskarr Heavy Cavalry"
 tuskarr_cav_b_3DESCR: ""
 tuskarr_art_a_3: "£unit_3£ Tuskarr Catapult"
 tuskarr_art_a_3DESCR: ""
 tuskarr_art_b_3: "£unit_3£ Tuskarr Trebuchet"
 tuskarr_art_b_3DESCR: ""
 tuskarr_inf_a_4: "£unit_4£ Tuskarr Archer"
 tuskarr_inf_a_4DESCR: ""
 tuskarr_inf_b_4: "£unit_4£ Tuskarr Warrior"
 tuskarr_inf_b_4DESCR: ""
 tuskarr_inf_c_4: "£unit_4£ Tuskarr Spellcaster"
 tuskarr_inf_c_4DESCR: ""
 tuskarr_cav_a_4: "£unit_4£ Tuskarr Light Cavalry"
 tuskarr_cav_a_4DESCR: ""
 tuskarr_cav_b_4: "£unit_4£ Tuskarr Heavy Cavalry"
 tuskarr_cav_b_4DESCR: ""
 tuskarr_art_a_4: "£unit_4£ Tuskarr Catapult"
 tuskarr_art_a_4DESCR: ""
 tuskarr_art_b_4: "£unit_4£ Tuskarr Trebuchet"
 tuskarr_art_b_4DESCR: ""
 tuskarr_inf_a_5: "£unit_5£ Tuskarr Archer"
 tuskarr_inf_a_5DESCR: ""
 tuskarr_inf_b_5: "£unit_5£ Tuskarr Warrior"
 tuskarr_inf_b_5DESCR: ""
 tuskarr_inf_c_5: "£unit_5£ Tuskarr Spellcaster"
 tuskarr_inf_c_5DESCR: ""
 tuskarr_cav_a_5: "£unit_5£ Tuskarr Light Cavalry"
 tuskarr_cav_a_5DESCR: ""
 tuskarr_cav_b_5: "£unit_5£ Tuskarr Heavy Cavalry"
 tuskarr_cav_b_5DESCR: ""
 tuskarr_art_a_5: "£unit_5£ Tuskarr Catapult"
 tuskarr_art_a_5DESCR: ""
 tuskarr_art_b_5: "£unit_5£ Tuskarr Trebuchet"
 tuskarr_art_b_5DESCR: ""

 undead_inf_a_1: "£unit_1£ Undead Archer"
 undead_inf_a_1DESCR: ""
 undead_inf_b_1: "£unit_1£ Undead Warrior"
 undead_inf_b_1DESCR: ""
 undead_inf_c_1: "£unit_1£ Undead Spellcaster"
 undead_inf_c_1DESCR: ""
 undead_cav_a_1: "£unit_1£ Undead Light Cavalry"
 undead_cav_a_1DESCR: ""
 undead_cav_b_1: "£unit_1£ Undead Heavy Cavalry"
 undead_cav_b_1DESCR: ""
 undead_art_a_1: "£unit_1£ Undead Catapult"
 undead_art_a_1DESCR: ""
 undead_art_b_1: "£unit_1£ Undead Trebuchet"
 undead_art_b_1DESCR: ""
 undead_inf_a_2: "£unit_2£ Undead Archer"
 undead_inf_a_2DESCR: ""
 undead_inf_b_2: "£unit_2£ Undead Warrior"
 undead_inf_b_2DESCR: ""
 undead_inf_c_2: "£unit_2£ Undead Spellcaster"
 undead_inf_c_2DESCR: ""
 undead_cav_a_2: "£unit_2£ Undead Light Cavalry"
 undead_cav_a_2DESCR: ""
 undead_cav_b_2: "£unit_2£ Undead Heavy Cavalry"
 undead_cav_b_2DESCR: ""
 undead_art_a_2: "£unit_2£ Undead Catapult"
 undead_art_a_2DESCR: ""
 undead_art_b_2: "£unit_2£ Undead Trebuchet"
 undead_art_b_2DESCR: ""
 undead_inf_a_3: "£unit_3£ Undead Archer"
 undead_inf_a_3DESCR: ""
 undead_inf_b_3: "£unit_3£ Undead Warrior"
 undead_inf_b_3DESCR: ""
 undead_inf_c_3: "£unit_3£ Undead Spellcaster"
 undead_inf_c_3DESCR: ""
 undead_cav_a_3: "£unit_3£ Undead Light Cavalry"
 undead_cav_a_3DESCR: ""
 undead_cav_b_3: "£unit_3£ Undead Heavy Cavalry"
 undead_cav_b_3DESCR: ""
 undead_art_a_3: "£unit_3£ Undead Catapult"
 undead_art_a_3DESCR: ""
 undead_art_b_3: "£unit_3£ Undead Trebuchet"
 undead_art_b_3DESCR: ""
 undead_inf_a_4: "£unit_4£ Undead Archer"
 undead_inf_a_4DESCR: ""
 undead_inf_b_4: "£unit_4£ Undead Warrior"
 undead_inf_b_4DESCR: ""
 undead_inf_c_4: "£unit_4£ Undead Spellcaster"
 undead_inf_c_4DESCR: ""
 undead_cav_a_4: "£unit_4£ Undead Light Cavalry"
 undead_cav_a_4DESCR: ""
 undead_cav_b_4: "£unit_4£ Undead Heavy Cavalry"
 undead_cav_b_4DESCR: ""
 undead_art_a_4: "£unit_4£ Undead Catapult"
 undead_art_a_4DESCR: ""
 undead_art_b_4: "£unit_4£ Undead Trebuchet"
 undead_art_b_4DESCR: ""
 undead_inf_a_5: "£unit_5£ Undead Archer"
 undead_inf_a_5DESCR: ""
 undead_inf_b_5: "£unit_5£ Undead Warrior"
 undead_inf_b_5DESCR: ""
 undead_inf_c_5: "£unit_5£ Undead Spellcaster"
 undead_inf_c_5DESCR: ""
 undead_cav_a_5: "£unit_5£ Undead Light Cavalry"
 undead_cav_a_5DESCR: ""
 undead_cav_b_5: "£unit_5£ Undead Heavy Cavalry"
 undead_cav_b_5DESCR: ""
 undead_art_a_5: "£unit_5£ Undead Catapult"
 undead_art_a_5DESCR: ""
 undead_art_b_5: "£unit_5£ Undead Trebuchet"
 undead_art_b_5DESCR: ""

 vrykul_inf_a_1: "£unit_1£ Vrykul Archer"
 vrykul_inf_a_1DESCR: ""
 vrykul_inf_b_1: "£unit_1£ Vrykul Warrior"
 vrykul_inf_b_1DESCR: ""
 vrykul_inf_c_1: "£unit_1£ Vrykul Spellcaster"
 vrykul_inf_c_1DESCR: ""
 vrykul_cav_a_1: "£unit_1£ Vrykul Light Cavalry"
 vrykul_cav_a_1DESCR: ""
 vrykul_cav_b_1: "£unit_1£ Vrykul Heavy Cavalry"
 vrykul_cav_b_1DESCR: ""
 vrykul_art_a_1: "£unit_1£ Vrykul Catapult"
 vrykul_art_a_1DESCR: ""
 vrykul_art_b_1: "£unit_1£ Vrykul Trebuchet"
 vrykul_art_b_1DESCR: ""
 vrykul_inf_a_2: "£unit_2£ Vrykul Archer"
 vrykul_inf_a_2DESCR: ""
 vrykul_inf_b_2: "£unit_2£ Vrykul Warrior"
 vrykul_inf_b_2DESCR: ""
 vrykul_inf_c_2: "£unit_2£ Vrykul Spellcaster"
 vrykul_inf_c_2DESCR: ""
 vrykul_cav_a_2: "£unit_2£ Vrykul Light Cavalry"
 vrykul_cav_a_2DESCR: ""
 vrykul_cav_b_2: "£unit_2£ Vrykul Heavy Cavalry"
 vrykul_cav_b_2DESCR: ""
 vrykul_art_a_2: "£unit_2£ Vrykul Catapult"
 vrykul_art_a_2DESCR: ""
 vrykul_art_b_2: "£unit_2£ Vrykul Trebuchet"
 vrykul_art_b_2DESCR: ""
 vrykul_inf_a_3: "£unit_3£ Vrykul Archer"
 vrykul_inf_a_3DESCR: ""
 vrykul_inf_b_3: "£unit_3£ Vrykul Warrior"
 vrykul_inf_b_3DESCR: ""
 vrykul_inf_c_3: "£unit_3£ Vrykul Spellcaster"
 vrykul_inf_c_3DESCR: ""
 vrykul_cav_a_3: "£unit_3£ Vrykul Light Cavalry"
 vrykul_cav_a_3DESCR: ""
 vrykul_cav_b_3: "£unit_3£ Vrykul Heavy Cavalry"
 vrykul_cav_b_3DESCR: ""
 vrykul_art_a_3: "£unit_3£ Vrykul Catapult"
 vrykul_art_a_3DESCR: ""
 vrykul_art_b_3: "£unit_3£ Vrykul Trebuchet"
 vrykul_art_b_3DESCR: ""
 vrykul_inf_a_4: "£unit_4£ Vrykul Archer"
 vrykul_inf_a_4DESCR: ""
 vrykul_inf_b_4: "£unit_4£ Vrykul Warrior"
 vrykul_inf_b_4DESCR: ""
 vrykul_inf_c_4: "£unit_4£ Vrykul Spellcaster"
 vrykul_inf_c_4DESCR: ""
 vrykul_cav_a_4: "£unit_4£ Vrykul Light Cavalry"
 vrykul_cav_a_4DESCR: ""
 vrykul_cav_b_4: "£unit_4£ Vrykul Heavy Cavalry"
 vrykul_cav_b_4DESCR: ""
 vrykul_art_a_4: "£unit_4£ Vrykul Catapult"
 vrykul_art_a_4DESCR: ""
 vrykul_art_b_4: "£unit_4£ Vrykul Trebuchet"
 vrykul_art_b_4DESCR: ""
 vrykul_inf_a_5: "£unit_5£ Vrykul Archer"
 vrykul_inf_a_5DESCR: ""
 vrykul_inf_b_5: "£unit_5£ Vrykul Warrior"
 vrykul_inf_b_5DESCR: ""
 vrykul_inf_c_5: "£unit_5£ Vrykul Spellcaster"
 vrykul_inf_c_5DESCR: ""
 vrykul_cav_a_5: "£unit_5£ Vrykul Light Cavalry"
 vrykul_cav_a_5DESCR: ""
 vrykul_cav_b_5: "£unit_5£ Vrykul Heavy Cavalry"
 vrykul_cav_b_5DESCR: ""
 vrykul_art_a_5: "£unit_5£ Vrykul Catapult"
 vrykul_art_a_5DESCR: ""
 vrykul_art_b_5: "£unit_5£ Vrykul Trebuchet"
 vrykul_art_b_5DESCR: ""

 wolvar_inf_a_1: "£unit_1£ Wolvar Archer"
 wolvar_inf_a_1DESCR: ""
 wolvar_inf_b_1: "£unit_1£ Wolvar Warrior"
 wolvar_inf_b_1DESCR: ""
 wolvar_inf_c_1: "£unit_1£ Wolvar Spellcaster"
 wolvar_inf_c_1DESCR: ""
 wolvar_cav_a_1: "£unit_1£ Wolvar Light Cavalry"
 wolvar_cav_a_1DESCR: ""
 wolvar_cav_b_1: "£unit_1£ Wolvar Heavy Cavalry"
 wolvar_cav_b_1DESCR: ""
 wolvar_art_a_1: "£unit_1£ Wolvar Catapult"
 wolvar_art_a_1DESCR: ""
 wolvar_art_b_1: "£unit_1£ Wolvar Trebuchet"
 wolvar_art_b_1DESCR: ""
 wolvar_inf_a_2: "£unit_2£ Wolvar Archer"
 wolvar_inf_a_2DESCR: ""
 wolvar_inf_b_2: "£unit_2£ Wolvar Warrior"
 wolvar_inf_b_2DESCR: ""
 wolvar_inf_c_2: "£unit_2£ Wolvar Spellcaster"
 wolvar_inf_c_2DESCR: ""
 wolvar_cav_a_2: "£unit_2£ Wolvar Light Cavalry"
 wolvar_cav_a_2DESCR: ""
 wolvar_cav_b_2: "£unit_2£ Wolvar Heavy Cavalry"
 wolvar_cav_b_2DESCR: ""
 wolvar_art_a_2: "£unit_2£ Wolvar Catapult"
 wolvar_art_a_2DESCR: ""
 wolvar_art_b_2: "£unit_2£ Wolvar Trebuchet"
 wolvar_art_b_2DESCR: ""
 wolvar_inf_a_3: "£unit_3£ Wolvar Archer"
 wolvar_inf_a_3DESCR: ""
 wolvar_inf_b_3: "£unit_3£ Wolvar Warrior"
 wolvar_inf_b_3DESCR: ""
 wolvar_inf_c_3: "£unit_3£ Wolvar Spellcaster"
 wolvar_inf_c_3DESCR: ""
 wolvar_cav_a_3: "£unit_3£ Wolvar Light Cavalry"
 wolvar_cav_a_3DESCR: ""
 wolvar_cav_b_3: "£unit_3£ Wolvar Heavy Cavalry"
 wolvar_cav_b_3DESCR: ""
 wolvar_art_a_3: "£unit_3£ Wolvar Catapult"
 wolvar_art_a_3DESCR: ""
 wolvar_art_b_3: "£unit_3£ Wolvar Trebuchet"
 wolvar_art_b_3DESCR: ""
 wolvar_inf_a_4: "£unit_4£ Wolvar Archer"
 wolvar_inf_a_4DESCR: ""
 wolvar_inf_b_4: "£unit_4£ Wolvar Warrior"
 wolvar_inf_b_4DESCR: ""
 wolvar_inf_c_4: "£unit_4£ Wolvar Spellcaster"
 wolvar_inf_c_4DESCR: ""
 wolvar_cav_a_4: "£unit_4£ Wolvar Light Cavalry"
 wolvar_cav_a_4DESCR: ""
 wolvar_cav_b_4: "£unit_4£ Wolvar Heavy Cavalry"
 wolvar_cav_b_4DESCR: ""
 wolvar_art_a_4: "£unit_4£ Wolvar Catapult"
 wolvar_art_a_4DESCR: ""
 wolvar_art_b_4: "£unit_4£ Wolvar Trebuchet"
 wolvar_art_b_4DESCR: ""
 wolvar_inf_a_5: "£unit_5£ Wolvar Archer"
 wolvar_inf_a_5DESCR: ""
 wolvar_inf_b_5: "£unit_5£ Wolvar Warrior"
 wolvar_inf_b_5DESCR: ""
 wolvar_inf_c_5: "£unit_5£ Wolvar Spellcaster"
 wolvar_inf_c_5DESCR: ""
 wolvar_cav_a_5: "£unit_5£ Wolvar Light Cavalry"
 wolvar_cav_a_5DESCR: ""
 wolvar_cav_b_5: "£unit_5£ Wolvar Heavy Cavalry"
 wolvar_cav_b_5DESCR: ""
 wolvar_art_a_5: "£unit_5£ Wolvar Catapult"
 wolvar_art_a_5DESCR: ""
 wolvar_art_b_5: "£unit_5£ Wolvar Trebuchet"
 wolvar_art_b_5DESCR: ""

 yaungol_inf_a_1: "£unit_1£ Yaungol Archer"
 yaungol_inf_a_1DESCR: ""
 yaungol_inf_b_1: "£unit_1£ Yaungol Warrior"
 yaungol_inf_b_1DESCR: ""
 yaungol_inf_c_1: "£unit_1£ Yaungol Spellcaster"
 yaungol_inf_c_1DESCR: ""
 yaungol_cav_a_1: "£unit_1£ Yaungol Light Cavalry"
 yaungol_cav_a_1DESCR: ""
 yaungol_cav_b_1: "£unit_1£ Yaungol Heavy Cavalry"
 yaungol_cav_b_1DESCR: ""
 yaungol_art_a_1: "£unit_1£ Yaungol Catapult"
 yaungol_art_a_1DESCR: ""
 yaungol_art_b_1: "£unit_1£ Yaungol Trebuchet"
 yaungol_art_b_1DESCR: ""
 yaungol_inf_a_2: "£unit_2£ Yaungol Archer"
 yaungol_inf_a_2DESCR: ""
 yaungol_inf_b_2: "£unit_2£ Yaungol Warrior"
 yaungol_inf_b_2DESCR: ""
 yaungol_inf_c_2: "£unit_2£ Yaungol Spellcaster"
 yaungol_inf_c_2DESCR: ""
 yaungol_cav_a_2: "£unit_2£ Yaungol Light Cavalry"
 yaungol_cav_a_2DESCR: ""
 yaungol_cav_b_2: "£unit_2£ Yaungol Heavy Cavalry"
 yaungol_cav_b_2DESCR: ""
 yaungol_art_a_2: "£unit_2£ Yaungol Catapult"
 yaungol_art_a_2DESCR: ""
 yaungol_art_b_2: "£unit_2£ Yaungol Trebuchet"
 yaungol_art_b_2DESCR: ""
 yaungol_inf_a_3: "£unit_3£ Yaungol Archer"
 yaungol_inf_a_3DESCR: ""
 yaungol_inf_b_3: "£unit_3£ Yaungol Warrior"
 yaungol_inf_b_3DESCR: ""
 yaungol_inf_c_3: "£unit_3£ Yaungol Spellcaster"
 yaungol_inf_c_3DESCR: ""
 yaungol_cav_a_3: "£unit_3£ Yaungol Light Cavalry"
 yaungol_cav_a_3DESCR: ""
 yaungol_cav_b_3: "£unit_3£ Yaungol Heavy Cavalry"
 yaungol_cav_b_3DESCR: ""
 yaungol_art_a_3: "£unit_3£ Yaungol Catapult"
 yaungol_art_a_3DESCR: ""
 yaungol_art_b_3: "£unit_3£ Yaungol Trebuchet"
 yaungol_art_b_3DESCR: ""
 yaungol_inf_a_4: "£unit_4£ Yaungol Archer"
 yaungol_inf_a_4DESCR: ""
 yaungol_inf_b_4: "£unit_4£ Yaungol Warrior"
 yaungol_inf_b_4DESCR: ""
 yaungol_inf_c_4: "£unit_4£ Yaungol Spellcaster"
 yaungol_inf_c_4DESCR: ""
 yaungol_cav_a_4: "£unit_4£ Yaungol Light Cavalry"
 yaungol_cav_a_4DESCR: ""
